bibkey	reference
Hansen2000	Hansen, Michael. “Observations on the immature stages of Georissidae (Coleoptera: Hydrophiloidea), with remarks on the evolution of the hydrophiloid egg cocoon”. Invertebrate Systematics 14.6. issn: 1447-2600 (2000): 907–916. Print.	
harber1970early	Harber, Phyllis Ann and John A Mutchmor. “The early embryonic development of Culiseta inornata (Diptera: Culicidae)”. Annals of the Entomological Society of America 63.6 (1970): 1609–1614. Print.	
Hardy1981	Hardy, R J. “Some aspects of the biology and behaviour of Adoryphorus couloni (Burmeister) (Coleoptera: Scarabaeidae: Dynastinae)”. Australian Journal of Entomology 20.1. issn: 1440-6055 (1981): 67–74. Print.	
haridass1985ultrastructure	Haridass, E T. “Ultrastructure of the eggs of Reduviidae: I. Eggs of Piratinae (Insecta-Heteroptera)”. Proceedings of the Indian Academy of Sciences: Animal Sciences 94.5 (1985): 533–545. Print.	
haridass1986ultrastructure	“Ultrastructure of the eggs of Reduviidae: II eggs of Harpactorinae (Insecta: Heteroptera)”. Proceedings of the Indian Academy of Sciences: Animal Sciences 95.2 (1986): 237–246. Print.	
haridass1986ultrastructurea	“Ultrastructure of the eggs of Reduviidae: III. Eggs of Triatominae and Echtrichodiinae (Insecta-Heteroptera)”. Proceedings of the Indian Academy of Sciences: Animal Sciences 95.4 (1986): 447–456. Print.	
Haridass1988	“Ultrastructure of the eggs of Reduviidae: IV. Eggs of Rhaphidosomatinae (Insecta–Heteroptera)”. Proceedings of the Indian Academy of Sciences: Animal Sciences 97.1. issn: 0253-4118 (1988): 49–54. Print.	
Harlan1966	Harlan, Donald P and Wilbur R Enns. “Surface-printing of grasshopper eggs for identification”. Annals of the Entomological Society of America 59.5. issn: 0013-8746 (1966): 1018–1020. Print.	
Harley1975	Harley, K L S and R C Kassulke. “Apion antiquum (Curculionoidea: Apionidae) for biological control of the weed Emex australis”. Australian Journal of Entomology 14.3. issn: 1440-6055 (1975): 271–276. Print.	
Harris1998	Harris, A C. “Nesting behaviour, life history and description of the mature larva of the beetle predator, Podagritus parrotti Leclercq (Hymenoptera: Sphecidae: Crabroninae)”. Journal of the Royal Society of New Zealand 28.4. issn: 0303-6758 (1998): 591–604. Print.	
Harris1987	Harris, Anthony C. “Pompilidae (Insecta: Hymenoptera)”. Fauna of New Zealand 12. issn: 1179-7193 (1987). Print.	
Hartley1962	Hartley, J C. “The egg of Tetrix (Tetrigidae, Orthoptera), with a discussion on the probable significance of the anterior horn”. Quarterly Journal of Microscopical Science 3.62. issn: 0021-9533 (1962): 253–259. Print.	
Hartley1971	“The respiratory system of the egg-shell of Homorocoryphus nitidulus vicinus (Orthoptera, Tettigoniidae)”. Journal of Experimental Biology 55 (1971): 165–176. Print.	
Hartley1961	“The shell of acridid eggs”. Quarterly Journal of Microscopical Science 3.58. issn: 0021-9533 (1961): 249–255. Print.	
Hartley1965	“The structure and function of the egg-shell of Deraeocoris ruber L. (Heteroptera, Miridae)”. Journal of Insect Physiology 11.1. issn: 0022-1910 (1965): 103–109. Print.	
Hartley1964	“The structure of the eggs of the British Tettigoniidae (Orthoptera)”. Proceedings of the Royal Entomological Society of London. Series A, General Entomology 39.7‐9, (1964): 111–117. Print.	
Hasbenli2008	Hasbenli, Abdullah, et al. “Chorionic structure of the eggs of five Laphriinae species (Diptera: Asilidae) from Turkey”. Journal of the Entomological Research Society 10.3. issn: 1302-0250 (2008): 47–60. Print.	
Hasenpusch2012a	Hasenpusch, J, D A Lane, and M S Moulds. “The life history of the hawk moth Macroglossum insipida papuanum Rothschild and Jordan, 1903 (Lepidoptera: Sphingidae)”. Australian Entomologist 39 (2012): 79–86. Print.	
hasenpusch2006studies	Hasenpusch, Jack and Paul D Brock. “Studies on the Australian stick insect genus Ctenomorpha Gray (Phasmida: Phasmatidae: Phasmatinae), with the description of a new large species”. Zootaxa 1282.1 (2006): 1–15. Print.	
Hassan1939	Hassan, A I. “The biology of some British Delphacidae (Homopt.) and their parasites with special reference to the Strepsiptera”. Transactions of the Royal Entomological Society of London 89.9. issn: 1365-2311 (1939): 345–384. Print.	
havelka2007embryogenesis	Havelka, Jan, Vladimir Landa Jr, and Vladimir Landa. “Embryogenesis of Aphidoletes aphidimyza (Diptera: Cecidomyiidae): Morphological markers for staging of living embryos”. European Journal of Entomology 104.1 (2007). Print.	
Haverfield1965	Haverfield, L E. “A note on the mating ritual and biology of Eleodes hispilabris connexa (Coleoptera: Tenebrionidae)”. Journal of the Kansas Entomological Society. issn: 0022-8567 (1965): 389–391. Print.	
hayashi1988life	Hayashi, Fumio. “Life history variation in a dobsonfly, Protohermes grandis (Megaloptera: Corydalidae): effects of prey availability and temperature”. Freshwater Biology 19.2 (1988): 205–216. Print.	
Hayashi2003	Hayashi, Fumio and Hirobumi Suzuki. “Fireflies with or without prespermatophores: Evolutionary origins and life-history consequences”. Entomological Science 6.1. issn: 1479-8298 (2003): 3–10. Print.	
Hayes1925	Hayes, William P. “A comparative study of the history of certain phytophagous Scarabaeid beetles” (1925). Print.	
Headrick1990	Headrick, David H and Richard D Goeden. “Description of the immature stages of Paracantha gentilis (Diptera: Tephritidae)”. Annals of the Entomological Society of America 83.2 (1990). Print.	
hedlin1961life	Hedlin, A F. “The Life History and Habits of a Midge, Contarinia oregonensis Foote (Diptera: Cecidomyiidae) in Douglas-fir Cones”. The Canadian Entomologist 93.11 (1961): 952–967. Print.	
Hegazi1985	Hegazi, E M and E Führer. “Instars of Microplitis rufiventris [Hym.: Braconidae] and their relative developmental speed under different photoperiods”. Entomophaga 30.3. issn: 0013-8959 (1985): 231–243. Print.	
Heidemann1911	Heidemann, Otto. “Some remarks on the eggs of North American species of Hemiptera-Heteroptera”. Proceedings of the Entomological Society of Washington 13 (1911): 128–140. Print.	
ElHelaly1971	El-Helaly, M S, A Y El-Shazli, and F H El-Gayar. “Morphological studies on immature stages of Bemisia tabaci, Gennadius (Homoptera, Aleyrodidae)”. Zeitschrift für Angewandte Entomologie 68.1-4. issn: 1439-0418 (1971): 403–408. Print.	
Hemenway1968	Hemenway, R and W H Whitcomb. “The life history of Disonycha glabrata (Coleoptera: Chrysomelidae)”. Journal of the Kansas Entomological Society. issn: 0022-8567 (1968): 174–178. Print.	
Heming1979	Heming, B S. “Origin and fate of germ cells in male and female embryos of Haplothrips verbasci (Osborn) (Insecta, Thysanoptera, Phlaeothripidae)”. Journal of Morphology 160.3. issn: 1097-4687 (1979): 323–343. Print.	
hennemann2007notes	Hennemann, Frank H. “Notes on the genera Andropromachus Carl, 1913 and Spinohirasea Zompro, 2001”. Phasmid Studies 15.1 (2007): 15–26. Print.	
hennemann1psg	“PSG 28, Eurycnema herculeana (Charpentier)”. Phasmid Studies 34.2 (1992). Print.	
hennemann2006papuacocelus	Hennemann, Frank H and Oskar V Conle. “Papuacocelus papuanus n. gen., n. sp.—a new Eurycanthinae from Papua New Guinea, with notes on the genus Dryococelus Gurney, 1947 and description of the egg (Phasmatodea: Phasmatidae: Eurycanthinae)”. Zootaxa 1375 (2006): 31–49. Print.	
hennemannstudies	“Studies on neotropical Phasmatodea VII. Descriptions of a new genus and four new species of Diapheromerinae from Peru and Bolivia (Phasmatodea: ”Anareolatae”: Diapheromeridae)”. Mitteilungen der Münchner Entomologischen Gesellschaft 97 Suppl. (2007): 89–112. Print.	
Hennemann2010	“Studies on Neotropical Phasmatodea X: Redescriptions of Aplopocranidium Zompro, 2004 and Jeremia Redtenbacher, 1908, with a Survey of the Tribe Cladomorphini Brunner v. Wattenwyl, 1893 and Keys to the Genera (Insecta: Phasmatodea: “Anareolatae”: Cladomorph)”. Journal of Orthoptera Research 19.1. issn: 1082-6467 (2010): 101–113. Print.	
hennemann2012studies	“Studies on neotropical Phasmatodea XIII: the genus Paracalynda Zompro, 2001 with notes on Eusermyleformia Bradler, 2009 (Insecta: Phasmatodea: Diapheromerinae: Diapheromerini)”. Journal of Orthoptera Research 21.1 (2012): 57–64. Print.	
Hennemann2012	“Studies on Neotropical Phasmatodea XIV: Revisions of the Central American Genera Hypocyrtus Redtenbacher, 1908 and Rhynchacris Redtenbacher, 1908 (Phasmatodea:“Anareolatae”: Xerosomatinae: Hesperophasmatini)”. Journal of Orthoptera Research 21.1. issn: 1082-6467 (2012): 65–89. Print.	
hennemann2006studies	“Studies on New Guinean giant stick-insects of the tribe Stephanacridini Günther, 1953, with the descriptions of a new genus and three new species of Stephanacris Redtenbacher, 1908 (Phasmatodea:“Anareolatae”)”. Zootaxa 1283 (2006): 1–24. Print.	
hennemann2006genus	“The genus Paracyphocrania Redtenbacher, 1908 (Phasmatodea: Phasmatinae: Phasmatini)”. Zoologische Mededelingen 80.4 (2006). Print.	
hennemann2016studies	Hennemann, Frank H, Oskar V Conle, and Daniel E Perez-Gelabert. “Studies on Neotropical Phasmatodea XVI: Revision of Haplopodini Günther, 1953 (rev. stat.), with notes on the subfamily Cladomorphinae Bradley & Galil, 1977 and the descriptions of a new tribe, four new genera and nine new species (Phasmatodea:“Anareolatae”: Phasmatidae: Cladomorphinae)”. Zootaxa 4128.1 (2016): 1–211. Print.	
hennemann2015study	Hennemann, Frank H, Oskar V Conle, and Sigetake Suzuki. “A study of the members of the tribe Phasmatini Gray, 1835, that occur within the boundaries of Wallacea (Phasmatodea: Phasmatidae: Phasmatinae:“Lanceocercata”)”. Zootaxa 4008.1 (2015): 1–74. Print.	
hennemann2016revision	Hennemann, Frank H, et al. “Revision of the Oriental subfamily Heteropteryginae Kirby, 1896, with a re-arrangement of the family Heteropterygidae and the descriptions of five new species of Haaniella Kirby, 1904. (Phasmatodea: Areolatae: Heteropterygidae)”. Zootaxa 4159.1 (2016): 1–219. Print.	
Henry1978a	Henry, Charles S. “An evolutionary and geographical overview of Repagula (abortive eggs) in the Ascalaphidae (Neuroptera)”. Proceedings Entomological Society of Washington (1978). Print.	
Henry1972a	“Eggs and Rapagula of Ululodes and Ascaloptynx (Neuroptera: Ascalaphidae): A Comparative Study”. Psyche 79.1-2. issn: 0033-2615 (1972): 1–22. Print.	
Henry1978	“The egg, repagulum, and larva of Byas albistigma (Neuroptera: Ascalaphidae): morphology, behaviour and phylogenetic significance”. Systematic Entomology 3.1. issn: 1365-3113 (1978): 9–18. Print.	
Hentz2002	Hentz, Matthew G and Gregg S Nuessly. “Morphology and biology of Diomus terminatus (Coleoptera: Coccinellidae), a predator of Sipha flava (Homoptera: Aphidae)”. The Florida Entomologist 85.1. issn: 0015-4040 (2002): 276–278. Print.	
Heraty2007	Heraty, J M and D C Darling. “A new genus and species of Perilampidae (Hymenoptera: Chalcidoidea) with uncertain placement in the family”. Journal of the Entomological Society of Ontario 138 (2007): 33–47. Print.	
Heraty1990	Heraty, John M and Kevin N Barber. “Biology of Obeza floridana (Ashmead) and Pseudochalcura gibbosa (Provancher) (Hymenoptera: Eucharitidae)”. Proceedings of the Entomological Society of Washington 92.2. issn: 0013-8797 (1990): 248–258. Print.	
HERATY1984	Heraty, John M and D Christopher Darling. “Comparative morphology of the planidial larvae of Eucharitidae and Perilampidae (Hymenoptera: Chalcidoidea)”. Systematic entomology 9.3. issn: 1365-3113 (1984): 309–328. Print.	
Heraty2004	Heraty, John, et al. “Phylogeny and behaviour of the Gollumiellinae, a new subfamily of the ant‐parasitic Eucharitidae (Hymenoptera: Chalcidoidea)”. Systematic Entomology 29.4. issn: 1365-3113 (2004): 544–559. Print.	
Hernandez-Mejia2013a	Hernández-Mejía, Blanca Claudia, A Flores-Gallardo, and J Llorente. “Comparación Morfológica del Corion de Especies de los Géneros Pieriballia, Itaballia, y Perrhybris (Lepidoptera: Pieridae: Pierinae), y sus Implicaciones Filogenéticas”. Southwestern Entomologist 38.2. issn: 0147-1724 (2013): 275–291. Print.	
Hernandez-Mejia2014	Hernández-Mejía, Blanca Claudia, Adrián Flores-Gallardo, and Jorge Llorente-Bousquets. “Morfología del corion en especies de los géneros Ascia y Ganyra y su comparación con otros géneros próximos de Pierinae (Lepidoptera: Pieridae)”. Southwestern Entomologist 39.1. issn: 0147-1724 (2014). Print.	
Hernandez-Mejia2014a	“Morfología del Corion en la Subfamilia Coliadinae (Lepidoptera: Pieridae) Chorionic Morphology in the Coliadinae Subfamily (Lepidoptera: Pieridae)”. Southwestern Entomologist (2014). Print.	
Hernandez-Mejia2015a	Hernández-Mejía, Claudia, Adrián Flores-Gallardo, and Jorge Llorente-Bousquets. “Morfología del Corion en Leptophobia (Lepidoptera: Pieridae) e Importancia Taxonómica”. Southwestern Entomologist 40.2. issn: 0147-1724 (2015): 351–368. Print.	
Hernandez1991	Hernández, J M. “Estudio de los caracteres del huevo en diversos Cerambycidae ibéricos y su interés taxonómico (Coleoptera)”. Graellsia 47 (1991): 49–59. Print.	
Herring1961	Herring, Jon Lamar. The genus Halobates (Hemiptera: Gerridae). Vol. 3. 1961. 223–305. Print.	
herth1973mode	Herth, W and K Sander. “Mode and timing of body pattern formation (regionalization) in the early embryonic development of cyclorrhaphic dipterans (Protophormia, Drosophila)”. Development Genes and Evolution 172.1 (1973): 1–27. Print.	
HESAMI2004	Hesami, Shahram, Hossein Seyedoleslami, and Rahim Ebadi. “Biology of Anagrus atomus (Hymenoptera: Mymaridae), an egg parasitoid of the grape leafhopper Arboridia kermanshah (Homoptera: Cicadellidae)”. Entomological Science 7.3. issn: 1479-8298 (2004): 271–276. Print.	
Hess1920	Hess, Walter N. “Notes on the biology of some common Lampyridae”. The Biological Bulletin 38.2. issn: 0006-3185 (1920): 39–76. Print.	
hill1937biology	Hill, C C and W T Emery. “The biology of Platygaster herrickii, a parasite of the Hessian fly”. Journal of Agricultural Research 55.19 (1937). Print.	
Hill1982	Hill, L. “Eggs of some tasmanian noctuidae (Lepidoptera)”. Australian Entomological Magazine 9.4 (1982). Print.	
Hinton1962b	Hinton, H E. “The fine structure and biology of the egg-shell of the wheat bulb fly, Leptohylemyia coarctata”. Quarterly Journal of Microscopical Science 3.62. issn: 0021-9533 (1962): 243–251. Print.	
Hinton1961	“The structure and function of the egg-shell in the Nepidae (Hemiptera)”. Journal of Insect Physiology 7.3. issn: 0022-1910 (1961): 224–257. Print.	
Hinton1962	“The structure of the shell and respiratory system of the eggs of Helopeltis and related genera (Hemiptera, Miridae)”. Proceedings of the Zoological Society of London 139.3, (1962): 483–488. Print.	
ho2013necroscia	Ho, G W C. “Necroscia perplexus (Redtenbacher, 1908) comb. nov.(Phasmatodea: Diapheromeridae: Necrosciinae), a new species to China”. Phasmid Studies 18 (2013): 19–23. Print.	
ho2013remarks	Ho, George Wai-Chun. “Remarks on the genus Necroscia (Phasmatodea, Diapheromeridae, Necrosciinae) from China, with two new records, one new synonym, and one new combination and key to the species”. Journal of Orthoptera Research 22.1 (2013): 21–27. Print.	
ho2014brockphasma	Ho, George Wai-Chun, et al. “Brockphasma spinifemoralis gen. et spec. nov.: a new phasmid genus and new species of Neohiraseini (Phasmida: Necrosciinae) from Vietnam”. Zootaxa 3826.1 (2014): 282–290. Print.	
